,3,4,5,6,7,9,10,14,22,31,33,44,47,55,63,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Fernando Alonso,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Antonio Giovinazzi
30,01:24.927,,01:23.247,01:23.650,01:25.103,,01:25.694,01:22.514,01:23.177,01:23.043,01:24.734,01:23.091,01:24.862,01:22.570,01:25.022,01:24.171
31,01:24.500,,01:22.994,01:23.435,01:23.820,,01:40.278,01:22.575,01:23.136,01:22.992,01:24.517,01:22.977,01:24.409,01:22.403,01:24.469,01:23.890
32,01:24.707,,01:23.003,01:23.436,01:23.955,,01:22.000,01:22.188,01:24.907,01:22.942,01:24.627,01:21.596,01:24.728,01:24.716,01:24.613,01:24.045
33,01:25.357,,01:23.056,01:23.697,01:25.163,,01:22.356,01:22.777,01:23.949,01:22.863,01:25.479,01:21.422,01:26.555,01:40.905,01:24.001,01:26.449
34,01:23.284,,01:22.996,01:23.666,01:25.699,,01:22.591,01:22.809,01:23.359,01:23.183,01:23.926,01:21.237,01:30.363,01:21.893,01:23.191,01:41.621
35,01:22.894,,01:23.172,01:23.246,01:23.075,,01:22.632,01:22.638,01:23.079,01:22.893,01:23.255,01:21.494,01:42.189,01:21.884,01:23.028,01:23.514
36,01:22.928,,01:25.373,01:23.325,01:22.946,,01:22.415,01:22.427,01:23.109,01:22.816,01:22.764,01:21.174,01:22.983,01:21.733,01:23.452,01:23.244
37,01:23.491,,01:38.807,01:23.276,01:23.455,,01:22.863,01:22.824,01:23.097,01:25.071,01:23.477,01:21.584,01:23.158,01:21.581,01:23.377,01:23.349
38,01:23.130,,01:22.239,01:23.430,01:23.079,,01:22.814,01:22.935,01:23.182,01:40.201,01:23.151,01:22.101,01:22.936,01:21.762,01:23.607,01:23.001
39,01:23.380,,01:21.873,01:23.481,01:23.243,,01:23.327,01:25.494,01:23.456,01:21.762,01:23.130,01:21.649,01:22.876,01:21.631,01:23.692,01:22.995
40,01:23.537,,01:21.875,01:25.010,01:23.128,,01:22.211,01:39.729,01:23.170,01:21.839,01:25.176,01:21.439,01:23.120,01:21.626,01:23.493,01:23.057
41,01:23.579,,01:21.676,01:23.490,01:23.018,,01:22.450,01:20.359,01:23.160,01:21.912,01:38.489,01:21.612,01:23.051,01:21.645,01:23.447,01:22.949
42,01:23.270,,01:22.565,01:23.146,01:23.055,,01:22.197,01:21.004,01:22.726,01:22.127,01:21.014,01:21.509,01:23.152,01:21.578,01:23.400,01:23.173
43,01:23.238,,01:21.724,01:23.265,01:23.063,,01:22.179,01:20.928,01:22.450,01:21.804,01:20.945,01:21.628,01:23.037,01:21.827,01:23.426,01:23.004
44,01:23.404,,01:21.796,01:23.200,01:23.181,,01:22.314,01:20.917,01:22.712,01:22.022,01:21.164,01:21.733,01:22.711,01:21.626,01:23.205,01:22.736
45,01:23.482,,01:22.246,01:23.346,01:23.184,,01:22.251,01:21.531,01:22.787,01:21.925,01:21.518,01:22.307,01:23.246,01:22.189,01:23.557,01:23.074
46,01:23.561,,01:22.236,01:23.263,01:23.491,,01:22.477,01:21.436,01:22.851,01:22.297,01:21.354,01:21.954,01:22.931,01:22.008,01:23.496,01:23.302
47,01:23.407,,01:22.061,01:23.308,01:23.415,,01:22.583,01:21.416,01:22.682,01:22.459,01:21.215,01:24.232,01:23.373,01:22.071,01:23.514,01:23.657
48,01:23.154,,01:22.502,01:23.344,01:23.431,,01:22.616,01:21.379,01:22.792,01:22.770,01:21.506,01:36.937,01:22.851,01:22.192,01:23.178,01:26.030
49,01:23.570,,01:22.560,01:23.239,01:23.305,,01:22.535,01:21.194,01:25.747,01:22.433,01:22.612,01:18.715,01:22.721,01:22.454,01:23.414,01:22.748
50,01:23.270,,01:22.184,01:23.298,01:24.356,,01:22.362,01:21.326,01:22.975,01:21.832,01:22.064,01:19.028,01:26.915,01:22.195,01:23.112,01:26.409
51,01:23.007,,01:21.985,01:23.208,01:23.492,,01:22.193,01:22.417,01:22.684,01:21.886,01:22.845,01:19.104,01:23.285,01:23.271,01:23.334,01:23.443
52,01:23.415,,01:21.806,01:23.608,01:23.262,,01:22.139,01:22.322,01:22.658,01:21.784,01:23.249,01:19.652,01:26.069,01:22.085,01:23.220,01:24.640
53,01:23.178,,01:21.475,01:23.311,01:26.133,,01:24.313,01:22.122,01:23.155,01:21.717,01:23.190,01:20.344,01:24.233,01:22.106,01:23.400,01:22.754
54,01:23.179,,01:21.774,01:23.368,01:42.182,,01:21.585,01:21.757,01:22.693,01:21.421,01:23.203,01:20.550,01:23.724,01:21.423,01:23.055,01:23.609
55,01:23.151,,01:21.464,01:23.426,01:21.766,,01:22.431,01:22.337,01:22.707,01:21.578,01:23.043,01:22.538,01:23.481,01:21.549,01:22.865,01:23.148
56,01:22.920,,01:21.644,01:23.438,01:22.278,,01:22.305,01:21.313,01:22.624,01:21.671,01:23.046,01:21.155,01:23.671,01:21.737,01:22.686,01:23.236
57,01:22.945,,01:21.807,01:23.373,01:21.622,,01:22.180,01:22.138,01:22.771,01:21.693,01:22.904,01:22.207,01:23.464,01:21.711,01:22.695,01:23.436
58,01:22.802,,01:21.491,01:23.192,01:21.518,,01:22.207,01:21.269,01:22.964,01:21.594,01:23.060,01:21.301,01:23.357,01:21.800,01:22.511,01:23.261
59,01:23.071,,01:21.685,01:22.883,01:21.788,,01:21.330,01:21.428,01:22.987,01:21.586,01:22.730,01:21.316,01:23.311,01:21.657,01:22.574,01:23.424
60,01:24.777,,01:21.459,01:23.016,01:22.278,,01:22.176,01:21.644,01:23.085,01:21.551,01:21.430,01:21.725,01:23.367,01:21.622,01:22.580,01:23.405
61,01:23.874,,01:21.557,01:23.177,01:22.317,,01:22.592,01:21.792,01:22.932,01:21.700,01:21.492,01:21.755,01:23.041,01:21.873,01:22.446,01:23.008
62,01:23.498,,01:21.571,01:22.831,01:21.988,,01:22.479,01:21.639,01:22.828,01:21.686,01:21.869,01:21.386,01:23.123,01:21.754,01:22.112,01:22.886
63,01:26.809,,01:21.986,01:23.935,01:22.200,,01:22.510,01:22.241,01:33.351,01:22.089,01:22.048,01:22.570,01:23.443,01:21.844,01:22.149,01:23.519
64,01:24.154,,01:21.792,01:23.582,01:21.882,,01:22.234,01:21.932,01:23.801,01:21.429,01:22.273,01:21.687,01:23.138,01:22.029,01:22.137,01:23.307
65,01:24.341,,01:21.778,01:23.508,01:21.921,,01:22.315,01:22.988,01:23.645,01:21.503,01:22.299,01:20.809,01:23.214,01:22.203,01:22.176,01:23.230
66,01:28.880,,01:21.723,01:23.535,01:24.688,,01:22.516,01:22.463,01:23.568,01:21.591,01:22.242,01:22.950,01:23.117,01:23.358,01:22.199,01:23.025
67,01:26.288,,01:21.755,01:23.613,01:22.146,,01:22.491,01:23.667,01:24.323,01:21.687,01:22.524,01:20.479,01:23.192,01:24.284,01:22.698,01:23.401
68,01:25.273,,01:21.799,01:23.787,01:21.855,,01:25.133,01:22.409,01:23.745,01:21.942,01:22.826,01:19.306,01:23.112,01:22.371,01:22.673,01:23.032
69,01:26.155,,01:21.863,01:23.675,01:21.644,,01:42.306,01:22.328,01:24.363,01:21.855,01:22.646,01:19.663,01:23.694,01:22.211,01:22.541,01:23.713
70,,,01:22.426,01:24.474,,,01:18.394,01:22.911,01:24.682,01:22.085,01:23.261,01:20.111,,01:23.122,01:23.420,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,Daniel Ricciardo,
,,,,,,,,,,,,,,4,Lando Norris,
,,,,,,,,,,,,,,5,Sebastian Vettel,
,,,,,,,,,,,,,,6,Nicholas Latifi,
,,,,,,,,,,,,,,7,Kimi Räikkönen,
,,,,,,,,,,,,,,9,Nikita Mazepin,
,,,,,,,,,,,,,,10,Pierre Gasly,
,,,,,,,,,,,,,,14,Fernando Alonso,
,,,,,,,,,,,,,,22,Yuki Tsunoda,
,,,,,,,,,,,,,,31,Esteban Ocon,
,,,,,,,,,,,,,,33,Max Verstappen,
,,,,,,,,,,,,,,44,Lewis Hamilton,
,,,,,,,,,,,,,,47,Mick Schumacher,
,,,,,,,,,,,,,,55,Carlos Sainz,
,,,,,,,,,,,,,,63,George Russell,
,,,,,,,,,,,,,,99,Antonio Giovinazzi,
