,3,4,5,6,7,9,10,11,14,16,18,22,31,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
23,01:32.212,01:33.509,01:33.325,01:33.497,01:33.939,01:35.634,01:32.925,01:32.297,01:35.154,01:32.259,01:32.955,01:33.458,01:33.186,01:32.311,01:35.387,01:32.064,01:33.883,01:52.484,01:33.119
24,01:32.670,01:32.830,01:33.749,01:33.803,01:33.907,01:34.736,01:32.855,01:32.159,01:33.490,01:32.296,01:52.567,01:32.873,01:33.223,01:32.686,01:33.930,01:32.254,01:33.831,01:31.988,01:53.252
25,01:32.637,01:32.274,01:33.430,01:33.600,01:33.404,01:33.671,01:32.784,01:32.448,01:53.530,01:32.048,01:33.581,01:32.681,01:32.939,01:32.115,01:57.006,01:31.885,01:33.295,01:31.415,01:33.247
26,01:32.569,01:32.040,01:33.454,01:33.169,01:33.609,01:55.157,01:32.764,01:32.835,01:33.077,01:31.993,01:33.106,01:32.578,01:32.784,01:31.854,01:34.381,01:31.819,01:33.467,01:31.520,01:33.205
27,01:32.923,01:32.047,01:33.158,01:33.241,01:33.560,01:34.423,01:33.201,01:32.755,01:32.901,01:32.082,01:32.943,01:32.577,01:32.882,01:32.852,01:35.266,01:32.260,01:33.292,01:31.804,01:33.431
28,01:33.434,01:32.096,01:33.407,01:33.452,01:33.246,01:34.404,01:32.660,01:33.276,01:33.621,01:31.958,01:33.405,01:32.671,01:32.840,02:03.392,01:35.721,01:31.816,01:33.256,01:31.651,01:33.590
29,01:33.169,01:32.217,01:33.709,01:33.780,01:33.378,01:34.715,01:53.002,01:33.639,01:33.588,01:31.847,01:33.685,01:33.574,01:34.350,01:30.762,01:36.468,02:00.799,01:34.063,01:32.160,01:33.867
30,01:32.955,01:32.073,01:33.713,01:33.484,01:33.543,01:36.036,01:32.686,01:33.373,01:33.502,01:51.720,01:33.612,01:32.682,01:33.657,01:31.113,01:37.139,01:31.306,01:33.578,01:32.480,01:33.726
31,01:32.420,01:33.668,01:33.590,01:33.654,01:33.276,01:37.864,01:32.836,01:33.770,01:33.617,01:31.552,01:33.458,01:53.783,01:33.252,01:31.257,01:35.172,01:31.706,01:33.855,01:32.683,01:33.565
32,01:32.569,01:33.174,01:33.502,01:33.574,01:33.057,01:34.543,01:33.166,01:33.306,01:33.367,01:31.541,01:33.346,01:32.942,01:33.114,01:32.488,01:34.412,01:32.305,01:33.566,01:32.191,01:33.729
33,01:32.471,01:32.410,01:33.084,01:33.253,01:33.432,01:34.320,01:33.508,01:33.135,01:33.270,01:31.716,01:33.278,01:33.635,01:33.022,01:32.038,01:34.158,01:32.335,01:33.176,01:31.720,01:33.290
34,01:32.557,01:32.139,01:33.509,01:33.339,01:33.508,01:34.077,01:33.037,01:33.207,01:33.356,01:31.978,01:33.215,01:33.398,01:32.764,01:31.219,01:34.080,01:32.740,01:33.165,01:31.799,01:33.200
35,01:32.263,01:31.940,01:33.059,01:33.146,01:33.381,01:34.149,01:33.125,01:33.411,01:33.153,01:31.448,01:33.247,01:33.255,01:32.963,01:30.817,01:33.972,01:32.258,01:33.269,01:31.252,01:33.257
36,01:32.570,01:31.945,01:33.545,01:32.932,01:33.303,01:34.090,01:33.170,01:33.045,01:33.208,01:31.384,01:33.244,01:33.414,01:33.166,01:31.025,01:33.959,01:32.701,01:33.400,01:31.435,01:33.495
37,01:32.595,01:31.848,01:33.561,01:33.255,01:33.470,01:34.066,01:33.228,01:33.376,01:33.309,01:31.500,01:33.395,01:33.452,01:33.051,01:30.807,01:34.097,01:32.686,01:33.302,01:31.094,01:33.226
38,01:32.748,01:31.823,01:33.064,01:32.994,01:33.331,01:36.240,01:32.907,01:31.900,01:33.070,01:31.542,01:33.003,01:33.313,01:32.855,01:30.594,01:36.633,01:32.354,01:33.200,01:31.066,01:33.080
39,01:32.447,01:32.061,01:33.721,01:32.807,01:33.236,01:34.150,01:32.505,01:50.566,01:33.166,01:31.599,01:33.160,01:33.572,01:32.845,01:30.859,01:34.579,01:32.569,01:33.388,01:31.146,01:33.135
40,01:32.151,01:31.624,01:41.335,01:33.468,01:33.252,01:33.947,01:32.565,01:31.070,01:32.763,01:31.425,01:32.821,01:32.919,01:32.497,01:30.443,01:33.895,01:32.253,01:33.100,01:33.278,01:32.925
41,01:31.933,01:31.800,,01:32.787,01:32.931,01:33.558,01:32.544,01:32.140,01:32.767,01:31.539,01:32.655,01:33.062,01:32.622,01:30.468,01:33.536,01:31.816,01:33.720,01:31.445,01:33.924
42,01:31.879,01:31.572,,01:33.104,01:33.130,01:33.734,01:32.752,01:31.953,01:32.708,01:31.271,01:32.807,01:33.071,01:32.588,01:30.160,01:33.481,01:31.868,01:33.238,01:31.084,01:33.584
43,01:31.784,01:31.762,,01:32.765,01:33.012,01:33.422,01:32.414,01:32.319,01:32.443,01:30.917,01:32.429,01:33.949,01:32.492,01:30.258,01:32.997,01:31.929,01:32.936,01:31.161,01:32.621
44,01:31.825,01:31.420,,01:32.982,01:32.531,01:33.402,01:32.402,01:32.617,01:32.225,01:30.846,01:32.239,01:32.359,01:32.522,01:29.801,01:33.292,01:31.737,01:32.629,01:30.688,01:32.817
45,01:31.720,01:31.666,,01:33.203,01:32.345,01:33.404,01:32.109,01:32.224,01:32.240,01:30.569,01:32.330,01:32.667,01:32.236,01:29.699,01:33.654,01:31.745,01:32.597,01:30.524,01:32.873
46,01:31.703,01:31.836,,01:33.142,01:42.269,01:33.341,01:33.003,01:32.502,01:32.476,01:30.724,01:32.491,01:32.319,01:32.612,01:29.701,01:33.767,01:31.592,01:32.675,01:30.641,01:32.705
47,01:31.946,01:31.900,,01:33.571,01:36.555,01:33.525,01:50.418,01:30.958,01:32.047,01:31.228,01:32.458,01:32.253,01:32.400,01:30.520,01:33.371,01:31.927,01:32.617,01:30.872,01:32.668
48,01:31.819,01:31.750,,01:35.201,01:31.895,01:33.252,01:30.740,01:30.000,01:31.698,01:31.291,01:31.992,01:31.559,01:32.210,01:30.503,01:33.091,01:31.856,01:32.424,01:31.181,01:33.270
49,01:31.774,01:32.868,,01:33.043,01:32.275,01:33.097,01:32.093,01:58.246,01:32.361,01:31.149,01:32.230,01:31.209,01:32.349,01:30.525,01:33.179,01:31.784,01:32.049,01:31.473,01:32.346
50,01:31.642,01:32.679,,01:32.718,01:32.012,01:32.927,01:30.995,01:28.617,01:32.194,01:32.956,01:32.447,01:30.886,01:32.244,01:30.900,01:32.862,01:31.742,01:32.861,01:32.153,01:34.269
51,01:31.284,01:32.208,,01:32.477,01:32.537,01:32.909,01:30.494,01:31.284,01:32.810,01:32.454,01:32.602,01:30.826,01:32.738,01:31.037,01:32.987,01:31.223,01:34.423,01:31.698,01:34.792
52,01:31.323,01:32.244,,,,,01:30.266,,01:32.821,01:32.857,01:33.251,01:31.101,01:32.804,01:31.635,,01:31.302,,01:32.424,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,3,Daniel Ricciardo,,,,,,,,,,,,,,,
,,,4,Lando Norris,,,,,,,,,,,,,,,
,,,5,Sebastian Vettel,,,,,,,,,,,,,,,
,,,6,Nicholas Latifi,,,,,,,,,,,,,,,
,,,7,Kimi Räikkönen,,,,,,,,,,,,,,,
,,,9,Nikita Mazepin,,,,,,,,,,,,,,,
,,,10,Pierre Gasly,,,,,,,,,,,,,,,
,,,11,Sergio Pérez,,,,,,,,,,,,,,,
,,,14,Fernando Alonso,,,,,,,,,,,,,,,
,,,16,Charles Leclerc,,,,,,,,,,,,,,,
,,,18,Lance Stroll,,,,,,,,,,,,,,,
,,,22,Yuki Tsunoda,,,,,,,,,,,,,,,
,,,31,Esteban Ocon,,,,,,,,,,,,,,,
,,,44,Lewis Hamilton,,,,,,,,,,,,,,,
,,,47,Mick Schumacher,,,,,,,,,,,,,,,
,,,55,Carlos Sainz,,,,,,,,,,,,,,,
,,,63,George Russell,,,,,,,,,,,,,,,
,,,77,Valtteri Bottas,,,,,,,,,,,,,,,
,,,99,Antonio Giovinazzi,,,,,,,,,,,,,,,
