,3,4,5,6,7,9,10,11,14,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
23,01:17.669,01:16.128,01:16.160,01:18.035,01:17.390,01:22.077,01:16.355,01:16.190,01:17.864,01:16.630,01:18.080,01:16.656,01:16.272,01:16.096,01:18.495,01:16.751,01:18.206,01:16.641,01:16.853
24,01:17.260,01:16.653,01:16.143,01:18.051,01:16.708,01:24.946,01:16.060,01:16.093,01:17.891,01:16.671,01:17.989,01:17.295,01:16.244,01:16.343,01:20.781,01:17.060,01:17.866,01:17.198,01:17.263
25,01:17.125,01:16.965,01:16.317,01:18.140,01:17.425,01:22.756,01:17.135,01:15.856,01:17.244,01:16.671,01:17.867,01:17.343,01:16.531,01:16.636,01:22.457,01:16.693,01:18.106,01:16.543,01:16.826
26,01:17.165,01:16.636,01:16.926,01:18.014,01:17.073,01:19.064,01:16.576,01:16.715,01:17.808,01:16.452,01:18.251,01:16.519,01:16.322,01:16.497,01:23.437,01:16.889,01:18.189,01:16.687,01:17.056
27,01:17.436,01:17.020,01:16.330,01:17.989,01:16.902,01:18.695,01:17.134,01:16.327,01:17.414,01:16.546,01:18.051,01:16.850,01:16.000,01:16.622,01:29.167,01:16.237,01:18.226,01:16.247,01:17.136
28,01:17.460,01:17.635,01:16.636,01:18.447,01:17.098,01:19.503,01:16.701,01:16.719,01:17.189,01:16.383,01:20.396,01:17.158,01:15.981,01:17.044,01:27.965,01:16.153,01:18.581,01:16.034,01:17.500
29,01:17.202,01:16.902,01:16.298,01:20.750,01:17.067,01:19.289,01:16.723,01:16.289,01:16.897,01:16.538,01:18.141,01:17.515,01:16.551,01:33.051,01:31.596,01:16.220,01:21.174,01:16.265,01:18.045
30,01:16.990,01:33.286,01:16.030,01:19.026,01:17.806,01:22.719,01:33.589,01:15.934,01:17.425,01:18.563,01:20.625,01:18.393,01:16.582,01:18.739,01:23.951,01:16.707,01:18.970,,01:18.318
31,01:17.699,01:19.617,01:32.812,01:20.096,01:17.262,01:23.783,01:21.727,01:16.166,01:17.473,01:17.278,01:18.626,01:18.301,01:15.167,01:19.326,01:26.779,01:16.485,01:35.152,,01:18.689
32,01:17.468,01:14.838,01:19.635,01:17.363,01:16.621,01:19.230,01:18.950,01:14.552,01:17.985,01:18.417,01:17.754,01:18.797,01:15.889,01:18.966,01:20.091,01:33.980,01:22.576,,01:18.673
33,01:17.638,01:16.210,01:15.316,01:16.967,01:16.540,01:19.038,01:16.459,01:14.670,01:17.090,01:18.351,01:17.034,01:18.032,01:15.827,01:17.702,01:17.770,01:19.941,01:19.074,,01:35.523
34,01:17.900,01:15.030,01:15.416,01:16.800,01:17.282,01:36.881,01:16.292,01:15.062,01:18.695,01:17.081,01:17.043,01:16.427,01:32.339,01:16.420,01:17.438,01:14.699,01:16.392,,01:20.718
35,01:18.265,01:14.991,01:15.568,01:16.692,01:18.335,01:22.270,01:15.894,01:32.675,01:17.241,01:16.690,01:16.742,01:16.052,01:20.639,01:15.929,01:19.106,01:14.621,01:15.826,,01:15.673
36,01:35.412,01:15.195,01:17.038,01:17.150,01:17.663,01:18.661,01:16.031,01:19.543,01:17.288,01:16.429,01:16.820,01:16.154,01:15.494,01:16.036,01:18.665,01:15.288,01:15.802,,01:16.866
37,01:21.447,01:15.735,01:17.051,01:17.912,01:16.386,01:17.773,01:16.467,01:16.381,01:17.172,01:16.252,01:17.503,01:32.516,01:15.861,01:16.621,01:35.956,01:15.163,01:15.895,,01:16.038
38,01:16.217,01:15.683,01:16.691,01:17.978,01:16.951,01:17.976,01:16.874,01:15.841,01:17.286,01:16.159,01:20.113,01:20.372,01:16.438,01:16.209,01:26.398,01:15.158,01:15.951,,01:17.113
39,01:15.205,01:15.625,01:16.402,01:19.567,01:16.565,01:21.209,01:16.708,01:16.007,01:17.102,01:15.811,01:19.247,01:16.171,01:16.535,01:16.392,01:24.818,01:15.122,01:16.636,,01:16.448
40,01:15.457,01:15.672,01:16.483,01:19.063,01:16.815,01:20.120,01:16.226,01:16.150,01:17.263,01:15.756,01:17.312,01:15.550,01:15.881,01:16.542,01:21.030,01:16.364,01:15.667,,01:16.013
41,01:14.856,01:15.757,01:16.706,01:17.323,01:16.901,01:20.018,01:16.713,01:14.950,01:17.267,01:15.695,01:19.522,01:15.316,01:15.468,01:16.349,01:17.591,01:15.565,01:15.618,,01:15.331
42,01:15.164,01:16.281,01:16.074,01:19.846,01:16.450,01:20.555,01:16.205,01:15.488,01:17.446,01:16.089,01:17.556,01:15.459,01:15.581,01:16.964,01:16.814,01:15.588,01:16.346,,01:15.402
43,01:14.578,01:15.912,01:16.220,01:34.200,01:33.514,01:22.757,01:16.757,01:15.600,01:17.602,01:15.983,01:17.717,01:15.823,01:15.624,01:17.853,01:17.825,01:15.329,01:18.893,,01:15.569
44,01:17.703,01:15.613,01:16.045,01:21.902,01:21.460,01:21.445,01:16.104,01:15.706,01:18.384,01:16.580,01:15.880,01:15.858,01:14.993,01:16.793,01:17.867,01:15.056,01:17.165,,01:15.707
45,01:17.707,01:15.180,01:15.903,01:16.122,01:17.657,01:23.941,01:16.357,01:15.344,01:34.415,01:17.562,01:15.635,01:16.012,01:14.930,01:15.903,01:17.852,01:14.808,01:16.812,,01:15.865
46,01:22.040,01:15.141,01:16.857,01:15.889,01:21.927,01:22.519,01:16.318,01:15.595,01:20.632,01:15.828,01:17.634,01:16.026,01:15.502,01:15.720,01:17.289,01:15.203,01:16.131,,01:16.179
47,01:17.230,01:15.458,01:15.991,01:16.286,01:16.697,01:17.651,01:16.320,01:15.700,01:15.120,01:15.920,01:17.469,01:16.782,01:15.494,01:15.277,01:17.434,01:15.626,01:16.185,,01:16.444
48,01:16.179,01:15.524,01:15.797,01:16.007,01:16.045,01:17.407,01:16.358,01:14.988,01:20.318,01:16.523,01:16.913,01:16.975,01:14.851,01:16.717,01:17.682,01:14.874,01:16.379,,01:16.712
49,01:16.284,01:15.584,01:15.591,01:16.355,01:16.304,01:17.221,01:15.906,01:14.810,01:16.757,01:15.989,01:16.880,01:16.749,01:15.186,01:16.328,01:16.940,01:14.731,01:16.446,,01:16.736
50,01:16.156,01:15.716,01:16.063,01:15.942,01:16.036,01:16.917,01:15.809,01:15.895,01:16.997,01:15.871,01:17.240,01:16.521,01:14.714,01:16.216,01:16.520,01:15.049,01:16.659,,01:16.577
51,01:18.131,01:15.531,01:16.059,01:15.867,01:16.163,01:16.883,01:16.128,01:14.743,01:16.727,01:16.024,01:16.702,01:16.430,01:14.950,01:16.266,01:16.425,01:15.052,01:17.078,,01:16.524
52,01:15.382,01:15.188,01:16.268,01:16.080,01:15.411,01:16.919,01:16.122,01:15.143,01:16.309,01:16.156,01:16.589,01:16.675,01:14.853,01:16.129,01:16.805,01:14.859,01:16.879,,01:16.466
53,01:15.386,01:15.270,01:16.452,01:16.146,01:15.025,01:16.901,01:16.126,01:14.915,01:16.557,01:15.595,01:16.319,01:16.689,01:14.745,01:15.641,01:16.767,01:14.792,01:19.146,,01:16.688
54,01:15.976,01:15.252,01:16.613,01:16.009,01:15.165,01:16.899,01:16.603,01:14.980,01:15.783,01:15.783,01:16.334,01:16.447,01:14.967,01:15.894,01:16.564,01:14.760,01:17.259,,01:16.647
55,01:15.298,01:15.339,01:15.500,01:15.703,01:14.971,01:17.089,01:16.398,01:15.238,01:15.954,01:15.806,01:15.983,01:16.466,01:14.783,01:15.953,01:16.624,01:14.646,01:16.727,,01:16.394
56,01:15.518,01:15.515,01:15.761,01:17.179,01:15.288,01:17.638,01:16.316,01:15.163,01:15.982,01:15.768,01:15.919,01:16.438,01:14.799,01:16.148,01:17.182,01:14.914,01:23.427,,01:16.482
57,01:15.268,01:15.441,01:15.883,01:16.863,01:15.588,01:17.517,01:15.732,01:15.736,01:16.071,01:16.725,01:16.108,01:16.712,01:14.762,01:16.877,01:17.915,01:15.051,01:17.148,,01:16.710
58,01:15.308,01:15.315,01:15.870,01:16.441,01:15.130,01:17.890,01:15.896,01:14.988,01:16.028,01:32.618,01:15.975,01:16.988,01:14.649,01:16.241,01:19.485,01:15.347,01:15.964,,01:17.878
59,01:15.633,01:15.630,01:15.900,01:16.039,01:15.311,01:21.993,01:15.921,01:15.052,01:15.890,01:18.442,01:15.777,01:19.864,01:15.092,01:16.006,01:17.713,01:15.320,01:15.539,,01:18.885
60,01:16.352,01:15.847,01:15.890,01:16.058,01:15.479,01:17.499,01:15.861,01:15.125,01:15.909,01:17.151,01:15.852,01:20.445,01:15.370,01:16.013,01:19.102,01:15.706,01:15.929,,01:19.997
61,01:18.843,01:16.048,01:15.762,01:15.820,01:15.691,01:19.733,01:15.657,01:15.270,01:16.007,01:16.586,01:16.161,01:17.675,01:15.557,01:15.858,01:18.282,01:16.343,01:15.759,,01:17.788
62,01:15.432,01:15.622,01:15.468,01:15.652,01:15.922,01:17.422,01:15.458,01:14.759,01:15.461,01:15.878,01:16.180,01:17.694,01:15.455,01:15.926,01:17.745,01:15.592,01:15.695,,01:17.774
63,01:15.246,01:15.416,01:16.085,01:15.921,01:16.950,01:16.868,01:15.687,01:14.778,01:15.868,01:15.508,01:15.805,01:17.764,01:15.014,01:15.404,01:17.133,01:16.394,01:15.705,,01:17.748
64,01:15.799,01:15.874,01:15.809,01:15.968,01:20.815,01:16.866,01:15.845,01:15.149,01:16.157,01:15.183,01:34.429,01:17.485,01:15.473,01:16.498,01:17.375,01:15.751,01:15.935,,01:17.436
65,01:16.018,01:16.145,01:16.370,01:16.173,01:16.494,01:17.046,01:15.882,01:15.883,01:15.536,01:18.419,01:18.804,01:17.557,01:15.356,01:15.684,01:17.779,01:15.455,01:16.012,,01:19.182
66,01:17.475,01:16.038,01:15.744,01:15.573,01:18.290,01:17.107,01:15.761,01:15.789,01:16.195,01:16.087,01:14.037,01:20.526,01:15.301,01:15.261,01:21.412,01:15.561,01:15.855,,01:19.104
67,01:17.762,01:15.572,01:15.345,01:15.984,01:17.937,01:17.105,01:15.646,01:15.982,01:15.318,01:15.373,01:14.077,01:17.478,01:15.035,01:31.810,01:17.582,01:15.356,01:15.861,,01:17.354
68,01:17.286,01:15.154,01:15.758,01:16.006,01:17.236,01:20.632,01:16.034,01:15.466,01:15.213,01:15.507,01:15.671,01:17.311,01:14.843,01:17.137,01:16.719,01:15.397,01:16.132,,01:17.200
69,01:17.332,01:15.381,01:15.954,01:16.048,01:17.242,01:17.133,01:15.514,01:15.453,01:15.667,01:15.862,01:16.035,01:16.944,01:14.836,01:12.909,01:16.763,01:15.261,01:16.270,,01:17.193
70,01:17.170,01:15.575,01:15.930,01:15.961,01:16.919,01:17.303,01:15.611,01:15.412,01:15.026,01:15.850,01:16.821,01:16.935,01:15.321,01:13.382,01:16.847,01:15.364,01:16.158,,01:16.833
71,01:16.952,01:15.974,01:15.782,01:16.211,01:16.521,01:17.632,01:15.412,01:15.613,01:15.226,01:15.604,01:17.195,01:16.774,01:15.237,01:14.433,01:16.778,01:15.269,01:15.979,,01:16.751
72,01:16.364,01:14.795,01:16.009,01:18.702,01:16.897,01:17.276,01:15.646,01:15.074,01:15.422,01:15.294,01:16.787,01:16.994,01:14.942,01:15.081,01:16.837,01:14.877,01:16.342,,01:17.056
73,01:16.987,01:15.034,01:16.185,01:16.068,01:17.112,01:17.252,01:15.974,01:15.167,01:16.111,01:15.565,01:16.159,01:16.936,01:15.316,01:15.080,01:17.064,01:15.141,01:18.826,,01:16.951
74,01:17.271,01:15.141,01:16.093,01:16.758,01:17.510,01:17.786,01:15.888,01:15.561,01:16.095,01:14.674,01:17.043,01:16.846,01:15.515,01:15.323,01:17.162,01:15.760,01:17.303,,01:16.880
75,01:17.126,01:15.032,01:15.911,01:16.815,01:16.273,01:17.153,01:15.763,01:15.175,01:16.601,01:15.670,01:16.538,01:16.895,01:14.909,01:16.795,01:17.633,01:15.530,01:17.063,,01:16.744
76,01:16.732,01:14.670,01:15.862,01:16.698,01:16.617,,01:15.691,01:14.905,01:16.696,01:16.392,01:16.575,01:16.655,01:15.331,01:14.539,,01:15.605,01:16.585,,01:16.829
77,01:17.357,01:15.091,01:16.234,01:16.748,01:16.864,,01:15.884,01:14.916,01:17.070,01:16.487,01:17.092,01:17.581,01:16.533,01:16.050,,01:16.139,01:16.660,,01:17.269
78,,01:16.101,01:17.071,,,,01:16.120,01:15.307,,,,,01:16.829,01:18.003,,01:16.345,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,Daniel Ricciardo
,,,,,,,,,,,,,,,,,,4,Lando Norris
,,,,,,,,,,,,,,,,,,5,Sebastian Vettel
,,,,,,,,,,,,,,,,,,6,Nicholas Latifi
,,,,,,,,,,,,,,,,,,7,Kimi Räikkönen
,,,,,,,,,,,,,,,,,,9,Nikita Mazepin
,,,,,,,,,,,,,,,,,,10,Pierre Gasly
,,,,,,,,,,,,,,,,,,11,Sergio Pérez
,,,,,,,,,,,,,,,,,,14,Fernando Alonso
,,,,,,,,,,,,,,,,,,18,Lance Stroll
,,,,,,,,,,,,,,,,,,22,Yuki Tsunoda
,,,,,,,,,,,,,,,,,,31,Esteban Ocon
,,,,,,,,,,,,,,,,,,33,Max Verstappen
,,,,,,,,,,,,,,,,,,44,Lewis Hamilton
,,,,,,,,,,,,,,,,,,47,Mick Schumacher
,,,,,,,,,,,,,,,,,,55,Carlos Sainz
,,,,,,,,,,,,,,,,,,63,George Russell
,,,,,,,,,,,,,,,,,,77,Valtteri Bottas
,,,,,,,,,,,,,,,,,,99,Antonio Giovinazzi
