Number,3,4,5,6,7,10,11,14,16,18,22,31,33,44,47,55,63,77,99
Name,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
23,01:36.494,01:36.547,01:38.631,01:37.320,01:36.985,01:36.421,01:35.807,01:38.377,01:36.195,01:36.843,01:37.306,01:37.362,01:35.122,01:35.219,01:37.578,01:36.236,01:37.412,01:35.092,01:36.936
24,01:36.307,01:36.409,01:41.508,01:38.097,01:36.897,01:36.519,01:35.964,01:37.604,01:36.338,01:36.697,01:36.154,01:37.422,01:35.207,01:35.087,01:37.595,01:36.279,01:37.197,01:35.193,01:37.236
25,01:36.675,01:36.565,01:56.594,01:37.694,01:37.019,01:36.472,01:35.526,01:37.596,01:36.428,01:36.879,01:36.824,01:36.904,01:35.044,01:35.359,01:37.779,01:37.598,01:37.238,01:35.022,01:36.899
26,01:36.505,01:36.152,01:35.566,01:38.179,01:36.852,01:36.890,01:36.592,01:38.758,01:36.406,01:36.914,01:36.195,01:37.316,01:34.958,01:35.622,01:38.144,01:36.686,01:37.378,01:35.308,01:36.918
27,01:36.334,01:36.290,01:36.045,01:38.149,01:36.495,01:36.394,01:35.221,01:37.447,01:36.616,01:37.700,01:36.657,01:37.104,01:35.118,01:35.940,01:38.957,01:36.574,01:37.711,01:35.469,01:37.210
28,01:36.530,01:36.577,01:36.341,01:37.802,01:36.531,01:36.512,01:35.488,01:37.791,01:36.555,01:39.588,01:36.870,01:37.206,01:35.126,01:37.835,01:37.677,01:36.842,01:37.001,01:35.376,01:36.940
29,01:36.593,01:36.646,01:36.434,01:39.666,01:39.035,01:36.217,01:35.877,01:40.108,01:37.096,01:57.513,01:36.844,01:37.430,01:35.282,01:55.194,01:38.250,01:36.020,01:37.666,01:35.915,01:36.987
30,01:36.811,01:36.417,01:36.260,01:38.422,01:56.634,01:36.061,01:35.713,01:57.522,01:36.871,01:36.023,01:36.705,01:37.408,01:35.476,01:34.365,01:38.899,01:36.217,01:37.777,01:38.028,01:39.490
31,01:37.068,01:36.515,01:36.185,01:39.096,01:36.452,01:36.185,01:36.302,01:36.063,01:37.108,01:34.865,01:36.663,01:39.268,01:35.054,01:35.305,01:38.322,01:36.273,01:37.962,02:03.818,01:56.373
32,01:39.803,01:36.616,01:36.335,01:42.667,01:36.941,01:36.452,01:35.458,01:42.313,01:39.973,01:35.279,01:36.654,01:56.314,01:35.378,01:34.729,01:38.641,01:36.469,01:37.675,01:35.120,01:35.122
33,01:56.039,01:39.275,01:36.492,01:58.954,01:36.786,01:36.357,01:36.547,,01:55.256,01:35.429,01:39.388,01:35.250,01:35.286,01:35.041,01:40.674,01:37.141,01:37.714,01:34.457,01:36.937
34,01:35.633,01:56.810,01:36.041,01:37.348,01:36.014,01:36.689,01:35.796,,01:35.096,01:35.328,01:55.773,01:35.975,01:35.638,01:34.665,01:59.708,01:36.635,01:37.350,01:34.472,01:36.088
35,01:35.429,01:34.899,01:36.249,01:37.437,01:36.791,01:38.745,01:36.056,,01:35.141,01:35.549,01:35.488,01:35.848,01:35.593,01:34.745,01:36.711,01:36.584,01:37.695,01:34.400,01:36.110
36,01:34.932,01:34.647,01:37.852,01:37.610,01:36.110,01:36.891,01:35.970,,01:35.055,01:35.455,01:35.977,01:35.721,01:35.721,01:34.754,01:36.722,01:36.713,01:42.693,01:34.461,01:35.713
37,01:35.199,01:34.501,01:36.733,01:37.971,01:35.842,01:36.736,01:35.987,,01:35.020,01:35.464,01:34.918,01:35.708,01:35.620,01:34.740,01:38.714,01:39.631,01:55.220,01:34.399,01:35.952
38,01:35.201,01:34.396,01:36.240,01:38.151,01:36.645,01:36.928,01:38.802,,01:35.264,01:35.686,01:34.761,01:36.272,01:35.921,01:34.720,01:36.134,01:55.128,01:35.096,01:34.418,01:36.306
39,01:35.469,01:34.629,01:36.726,01:37.195,01:36.572,01:39.587,01:56.750,,01:34.988,01:36.132,01:35.641,01:36.308,01:37.828,01:34.816,01:36.786,01:34.661,01:35.565,01:35.198,01:36.424
40,01:35.596,01:34.756,01:36.391,01:37.802,01:36.888,01:56.887,01:34.518,,01:35.118,01:36.678,01:35.691,01:36.245,01:53.437,01:34.890,01:36.843,01:34.630,01:35.036,01:34.729,01:36.515
41,01:35.175,01:34.800,01:36.171,01:37.811,01:36.564,01:34.560,01:34.263,,01:35.041,01:35.787,01:35.645,01:36.045,01:33.228,01:34.334,01:36.674,01:34.876,01:35.737,01:34.776,01:36.261
42,01:35.222,01:35.090,01:36.356,01:38.105,01:36.380,01:34.349,01:34.265,,01:35.284,01:35.921,01:35.551,01:36.179,01:33.450,01:34.199,01:37.962,01:34.636,01:35.987,01:34.798,01:36.206
43,01:35.011,01:34.805,01:36.379,01:37.724,01:35.815,01:34.303,01:34.449,,01:35.168,01:35.713,01:35.230,01:35.530,01:33.231,01:34.163,01:36.409,01:34.811,01:36.299,01:34.466,01:35.971
44,01:36.591,01:34.733,01:45.206,01:38.899,01:36.321,01:34.978,01:33.970,,01:35.294,01:36.014,01:35.296,01:47.176,01:33.594,01:34.015,01:38.628,01:35.081,01:35.980,01:34.303,01:36.787
45,01:35.628,01:34.816,01:36.705,01:39.670,01:35.192,01:34.692,01:34.542,,01:35.373,01:36.294,01:35.162,01:36.502,01:34.056,01:34.583,01:36.389,01:36.024,01:37.337,01:35.158,01:35.868
46,01:35.435,01:35.049,01:38.732,01:38.396,01:36.071,01:34.230,01:34.709,,01:35.287,01:37.413,01:35.254,01:36.784,01:33.894,01:34.492,01:36.580,01:34.883,01:35.830,01:34.379,01:35.680
47,01:35.298,01:34.843,01:38.436,01:39.391,01:35.577,01:34.243,01:34.634,,01:35.381,01:36.374,01:34.974,01:36.739,01:34.092,01:34.591,01:37.997,01:34.693,01:35.777,01:34.272,01:35.747
48,01:35.128,01:35.030,01:37.072,01:39.385,01:35.368,01:34.090,01:34.167,,01:35.153,01:36.267,01:35.179,01:36.130,01:33.818,01:34.167,01:36.695,01:34.509,01:35.938,01:34.217,01:35.338
49,01:35.556,01:35.112,01:36.842,01:38.661,01:35.562,01:34.281,01:34.665,,01:35.419,01:36.098,01:35.544,01:36.359,01:33.576,01:34.136,01:38.802,01:34.636,01:35.969,01:34.212,01:35.298
50,01:36.458,01:34.768,01:37.236,01:49.275,01:35.338,01:34.346,01:34.241,,01:35.067,01:36.155,01:35.108,01:36.171,01:33.893,01:34.354,01:38.777,01:34.587,01:36.844,01:34.309,01:35.367
51,01:35.616,01:35.074,01:39.325,01:46.133,01:35.686,01:34.950,01:34.340,,01:35.546,01:36.581,01:35.717,01:36.055,01:33.964,01:34.579,01:36.652,01:35.110,01:35.206,01:34.488,01:36.135
52,01:35.768,01:35.308,01:38.594,,01:35.654,01:38.051,01:35.320,,01:37.113,01:37.090,01:36.122,01:36.302,01:34.669,01:34.939,01:37.229,01:35.009,01:35.945,01:35.125,01:39.448
53,01:35.388,01:35.429,01:37.099,,01:35.905,,01:34.546,,01:35.684,01:36.939,01:37.135,01:36.381,01:36.413,01:36.155,01:36.856,01:35.163,01:35.743,01:34.644,01:36.225
54,01:35.773,01:35.900,01:37.522,,01:35.414,,01:34.892,,01:35.945,01:37.076,01:37.354,01:36.394,01:35.073,01:34.814,01:37.118,01:35.607,01:36.060,01:37.802,01:35.900
55,01:35.640,01:35.718,01:37.560,,01:35.987,,01:34.746,,01:36.190,01:37.068,01:36.882,01:36.346,01:34.565,01:34.706,01:37.351,01:35.577,01:36.217,01:55.899,01:35.788
56,01:35.823,01:35.733,,,01:35.960,,01:34.755,,01:36.951,01:38.600,01:36.755,,01:34.727,01:34.918,,01:35.760,,01:32.090,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,Daniel Ricciardo,,,
,,,,,,,,,,,,,,,4,Lando Norris,,,
,,,,,,,,,,,,,,,5,Sebastian Vettel,,,
,,,,,,,,,,,,,,,6,Nicholas Latifi,,,
,,,,,,,,,,,,,,,7,Kimi Räikkönen,,,
,,,,,,,,,,,,,,,10,Pierre Gasly,,,
,,,,,,,,,,,,,,,11,Sergio Pérez,,,
,,,,,,,,,,,,,,,14,Fernando Alonso,,,
,,,,,,,,,,,,,,,16,Charles Leclerc,,,
,,,,,,,,,,,,,,,18,Lance Stroll,,,
,,,,,,,,,,,,,,,22,Yuki Tsunoda,,,
,,,,,,,,,,,,,,,31,Esteban Ocon,,,
,,,,,,,,,,,,,,,33,Max Verstappen,,,
,,,,,,,,,,,,,,,44,Lewis Hamilton,,,
,,,,,,,,,,,,,,,47,Mick Schumacher,,,
,,,,,,,,,,,,,,,55,Carlos Sainz,,,
,,,,,,,,,,,,,,,63,George Russell,,,
,,,,,,,,,,,,,,,77,Valtteri Bottas,,,
,,,,,,,,,,,,,,,99,Antonio Giovinazzi,,,
